orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
ce Central Province,2024W1,0,0,0,0,0,2,8,44,208,95,27,2435,12933,25659,26111,2,6,35,0,0,0,0,0,1,1
lu Luapula Province,2024W1,0,0,1,0,0,0,0,0,0,55,57,1266,18044,27830,28757,0,3,86,0,0,0,0,2,4,4
ea Eastern Province,2024W1,0,3,3,0,0,1,9,17,23,18,97,2770,7255,20077,20661,3,3,11,0,0,0,0,0,0,0
ls Lusaka Province,2024W1,0,0,0,0,0,3,22,141,1209,11,42,1600,557,3480,4331,0,0,1,0,0,0,0,0,0,0
no Northern Province,2024W1,0,0,0,0,0,0,2,3,3,0,8,1133,22415,31426,31690,0,0,49,0,0,0,0,0,0,1
mu Muchinga Province,2024W1,0,0,0,0,0,0,1,3,3,1,6,552,11362,16114,16956,0,0,3,0,0,0,0,0,0,0
we Western Province,2024W1,0,0,0,0,0,3,3,7,7,66,102,1753,15662,28590,30291,10,0,0,0,0,0,0,0,0,0
so Southern Province,2024W1,0,0,0,0,0,3,15,24,37,71,101,2624,763,3775,3642,0,0,0,0,0,0,0,0,0,0
nw North-Western Province,2024W1,0,2,2,0,0,0,5,12,12,429,387,1282,16707,25159,26634,0,10,25,0,0,0,0,3,3,3
co Copperbelt Province,2024W1,0,0,0,0,0,0,4,5,6,146,180,1799,22317,37753,38170,0,0,0,0,0,0,0,0,7,0
co Copperbelt Province,2024W10,0,1,1,0,0,0,18,45,92,243,249,2500,21636,42254,43549,0,1,1,0,0,0,0,0,1,19
